Name,Position,Games Played,Minutes,Tries Per 80 Minutes,Try Assists Per 80 Minutes,Try Contributions Per 80 Minutes,Carries Per 80 Minutes,Meters Per 80 Minutes,Defenders Beaten Per 80 Minutes,Linebreaks Per 80 Minutes,Offloads Per 80 Minutes,Tackles Per 80 Minutes,Missed Tackles Per 80 Minutes,Turnovers Won Per 80 Minutes,Turnovers Lost Per 80 Minutes,Penalties Per 80 Minutes,Kicks Per 80 Minutes,Passes Per 80 Minutes,Dominant Tackles Per 80 Minutes
Aaron Cruden,First Five,13,430,0.0,0.5581395348837209,1.6744186046511627,10.046511627906977,49.67441860465116,2.2325581395348837,1.1162790697674418,2.9767441860465116,8.186046511627907,0.7441860465116279,0.18604651162790697,1.6744186046511627,0.37209302325581395,8.372093023255815,26.6046511627907,0.0
Aaron Smith,Halfback,75,4212,0.2849002849002849,0.9116809116809117,2.716049382716049,5.318138651471985,20.55080721747388,1.177587844254511,0.9496676163342831,0.4178537511870845,5.451092117758785,1.3865147198480532,0.18993352326685659,0.9116809116809117,0.4368471035137702,5.147198480531814,74.75783475783476,0.1329534662867996
Aidan Ross,Prop,1,20,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,12.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
Akira Ioane,Blindside,21,1103,0.07252946509519492,0.14505893019038985,0.3626473254759746,10.806890299184044,43.880326382592926,2.973708068902992,0.6527651858567542,0.14505893019038985,7.615593834995467,0.7978241160471442,0.5802357207615594,0.6527651858567542,0.9428830462375339,0.14505893019038985,3.8440616500453313,0.2901178603807797
Alex Hodgman,Prop,2,29,0.0,0.0,0.0,2.7586206896551726,0.0,0.0,0.0,0.0,24.82758620689655,2.7586206896551726,0.0,0.0,2.7586206896551726,0.0,0.0,0.0
Angus Ta'avao,Prop,23,732,0.3278688524590164,0.1092896174863388,0.1092896174863388,5.136612021857924,12.349726775956285,0.6557377049180328,0.1092896174863388,0.3278688524590164,12.568306010928962,1.0928961748633879,0.0,0.4371584699453552,1.530054644808743,0.0,2.4043715846994536,0.1092896174863388
Anton Lienert-Brown,Second Five,67,3584,0.3125,0.5357142857142857,0.9375,10.401785714285714,47.79017857142857,3.125,1.1607142857142858,1.4285714285714284,7.4107142857142865,0.9598214285714286,0.24553571428571427,0.9375,0.46875,0.33482142857142855,7.8125,0.13392857142857142
Ardie Savea,Openside,79,4599,0.40008697542944116,0.365296803652968,0.5044574907588606,12.750597956077407,43.81822135246793,3.165905631659056,0.6610132637529897,0.9915198956294846,11.254620569689063,0.6262230919765166,0.6958034355294629,0.6958034355294629,0.60882800608828,0.121765601217656,6.888454011741683,0.243531202435312
Asafo Aumua,Hooker,6,188,0.851063829787234,0.0,0.0,14.042553191489361,47.23404255319149,1.276595744680851,0.0,0.425531914893617,9.361702127659575,0.851063829787234,0.0,0.425531914893617,0.425531914893617,0.0,4.680851063829787,0.0
Atu Moli,Prop,4,153,0.0,0.0,0.0,5.228758169934641,7.8431372549019605,0.0,0.0,0.0,13.071895424836601,2.6143790849673203,0.0,1.0457516339869282,0.5228758169934641,0.0,1.0457516339869282,0.0
